Week,FolgersSales,FolgersPrice,FolgersDisplay,FolgersFeature
1,3488.41,3.03,0,0
2,7275.88,1.93,0,0
3,13363.49,1.21,1,1
4,8300.33,1.98,0,0
5,2780.90,3.18,0,0
6,3246.90,2.80,0,0
7,4829.55,2.48,0,0
8,5153.33,2.64,0,0
9,4004.05,2.53,0,0
10,5266.64,2.41,0,0
11,5229.52,2.40,0,0
12,5131.75,2.36,0,0
13,3845.74,2.93,0,0
14,3476.94,3.10,0,0
15,7299.79,2.41,0,0
16,6962.89,2.66,0,0
17,6491.90,2.41,0,0
18,13287.70,1.27,1,1
19,6027.56,1.81,0,1
20,5769.04,1.97,0,1
21,3795.35,2.60,0,1
22,3486.04,3.03,0,0
23,5108.24,3.21,0,0
24,5151.76,2.80,0,1
25,5732.65,3.07,0,1
26,5186.13,3.15,0,1
27,4767.31,3.39,0,1
28,5488.25,3.19,0,1
29,4567.15,3.40,0,0
30,5264.89,3.10,0,1
31,5910.26,2.86,0,1
32,5868.51,2.93,0,1
33,4610.61,3.14,0,0
34,6828.53,2.82,0,0
35,4756.16,3.05,0,0
36,6559.00,2.86,0,0
37,4169.68,3.33,0,0
38,5534.88,2.86,0,0
39,4634.90,3.15,0,0
40,5694.29,3.54,0,0
41,19801.88,1.22,1,1
42,3786.25,2.95,0,0
43,4221.06,3.35,0,0
44,5743.67,3.00,0,0
45,8612.12,2.46,0,0
46,15657.44,1.43,1,1
47,4906.78,3.19,0,0
48,4128.86,3.56,0,0
49,3407.05,3.76,0,0
50,6677.82,2.51,0,0
51,6604.67,2.64,0,0
52,6076.42,2.68,0,0
53,7213.30,2.52,0,0
54,4574.37,2.90,0,0
55,4868.48,2.91,0,0
56,7271.14,2.15,0,0
57,4864.74,2.90,0,0
58,6574.44,2.80,0,0
59,5392.66,3.05,0,0
60,6465.99,2.90,0,0
61,7446.53,2.41,0,0
62,7375.24,2.64,0,0
63,5353.38,2.63,0,0
64,5292.75,2.90,0,0
65,7078.73,2.89,0,0
66,4527.87,2.89,0,0
67,3476.23,3.30,0,0
68,4932.17,3.00,0,0
69,2769.46,3.46,0,0
70,5977.81,2.56,0,0
71,15797.60,1.27,0,0
72,29651.18,0.75,1,1
73,5125.19,2.48,0,1
74,5408.00,2.09,0,1
75,8401.26,1.51,0,1
76,14120.88,1.21,1,1
77,5216.22,2.44,0,0
78,5183.34,2.55,0,0
79,3588.65,3.05,0,0
80,12389.74,1.46,0,0
81,4372.82,2.55,1,0
82,4144.36,3.06,0,0
83,5007.23,2.84,0,0
84,5354.07,2.81,0,0
85,5016.34,2.93,0,0
86,5440.37,2.40,0,0
87,4160.67,2.66,0,0
88,3560.28,3.36,0,0
89,4234.57,3.20,0,0
90,4928.30,2.74,0,0
91,4155.58,3.16,0,0
92,5752.76,2.82,0,0
93,4750.04,3.43,0,0
94,4148.84,2.99,0,0
95,8063.55,1.68,0,0
96,10316.28,1.92,1,1
97,4380.44,2.95,0,1
98,15702.63,1.34,1,0
99,5627.60,2.62,1,1
100,4054.24,2.55,0,0
101,3648.81,3.19,0,0
102,4512.25,2.93,0,0
103,4567.85,3.14,0,0
104,4726.18,2.53,0,0
