Sales,Price,Display,Feature
661.30,3.17,0,0
2717.42,1.86,0,0
10040.19,1.31,1,1
2984.61,2.02,0,0
491.34,3.19,0,0
692.81,2.93,0,0
1239.00,2.42,0,0
1202.41,2.68,0,0
993.17,2.43,0,0
1408.13,2.45,0,0
1404.76,2.40,0,0
1412.23,2.48,0,0
766.20,2.84,0,0
638.50,2.97,0,0
1951.37,2.34,0,0
1609.23,2.68,0,0
1733.25,2.46,0,0
9254.67,1.15,1,1
2470.77,1.70,0,1
2088.34,1.87,0,1
906.29,2.46,0,1
661.28,3.05,0,0
889.16,3.21,0,0
1099.56,2.71,0,1
1064.90,3.04,0,1
928.92,3.24,0,1
763.62,3.30,0,1
962.27,3.05,0,1
728.14,3.52,0,0
963.48,2.97,0,1
1220.62,3.00,0,1
1169.75,3.04,0,1
828.20,3.24,0,0
1441.27,2.89,0,0
893.74,3.15,0,0
1353.82,3.00,0,0
686.42,3.31,0,0
1143.27,2.99,0,0
828.29,3.28,0,0
853.74,3.64,0,0
14639.07,1.26,1,1
748.52,2.95,0,0
688.02,3.42,0,0
1107.47,2.91,0,0
2229.76,2.50,0,0
9186.08,1.55,1,1
861.62,3.25,0,0
615.16,3.69,0,0
467.06,3.72,0,0
1677.08,2.43,0,0
1537.46,2.60,0,0
1386.30,2.66,0,0
1806.70,2.41,0,0
925.98,2.79,0,0
978.27,3.04,0,0
2312.58,2.09,0,0
983.99,3.05,0,0
1403.28,2.86,0,0
1014.50,3.15,0,0
1307.88,3.01,0,0
1994.31,2.33,0,0
1717.23,2.79,0,0
1253.00,2.51,0,0
1072.56,2.90,0,0
1438.58,2.95,0,0
920.18,3.03,0,0
579.19,3.15,0,0
950.91,3.08,0,0
430.63,3.57,0,0
1463.45,2.62,0,0
10989.82,1.16,0,0
46111.32,0.77,1,1
1311.90,2.36,0,1
1790.24,2.08,0,1
4512.91,1.59,0,1
10636.91,1.16,1,1
1371.03,2.37,0,0
1275.92,2.62,0,0
673.79,3.10,0,0
7047.04,1.31,0,0
1076.78,2.55,1,0
776.10,3.10,0,0
1047.37,2.97,0,0
1139.44,2.74,0,0
997.95,2.92,0,0
1461.40,2.31,0,0
960.89,2.72,0,0
577.52,3.28,0,0
740.44,3.25,0,0
1084.53,2.68,0,0
739.88,3.25,0,0
1218.03,2.80,0,0
747.52,3.48,0,0
802.58,2.98,0,0
3718.34,1.70,0,0
3868.00,1.95,1,1
864.06,2.89,0,1
10178.92,1.24,1,0
1327.69,2.65,1,1
997.45,2.45,0,0
639.67,3.14,0,0
901.72,2.84,0,0
819.50,3.11,0,0
1175.06,2.39,0,0
2154.50,2.91,1,1
2033.23,2.59,0,0
1845.60,2.53,0,0
1062.68,3.38,0,0
1549.31,3.02,0,1
1856.12,2.80,0,0
4055.25,2.28,1,1
1450.14,2.64,0,0
1223.64,2.97,0,0
9861.67,1.41,1,1
2736.33,2.10,0,1
2241.65,2.37,1,1
2276.45,2.60,0,1
2528.16,2.45,0,1
919.94,3.21,0,0
3374.24,2.38,1,1
4126.64,2.37,0,0
1060.17,3.13,0,0
768.80,3.40,0,0
1104.96,3.35,0,0
1422.40,3.13,0,0
3410.05,2.50,1,0
1689.52,2.97,0,0
1388.54,3.04,1,0
1087.43,3.15,0,0
855.55,3.75,0,0
1198.51,3.34,0,0
1233.64,3.41,0,0
6696.74,1.92,1,1
2275.90,2.41,0,1
6096.92,1.78,1,1
2303.50,2.28,0,0
620.49,3.87,0,0
4578.99,1.86,1,0
2316.17,2.61,1,1
1948.66,2.48,0,0
1375.97,2.83,0,1
6447.05,1.76,1,1
1494.31,2.89,0,0
6595.34,1.69,1,1
816.08,3.62,0,0
4543.58,2.10,1,1
2134.46,2.65,0,0
1385.66,3.07,0,0
7670.20,1.90,1,1
5137.84,1.94,1,1
4782.23,1.83,0,1
2064.06,2.45,0,1
6607.00,1.77,1,1
2395.30,2.77,0,0
1289.14,2.78,0,0
5743.12,1.85,1,1
1615.49,2.93,0,0
2466.02,2.52,1,1
1599.56,3.07,0,1
1105.11,3.21,0,0
3392.95,2.41,0,0
910.67,3.16,0,0
1278.87,3.03,0,0
1964.45,2.80,1,0
2048.48,2.66,0,0
1732.70,2.78,0,0
5419.43,1.98,1,0
2313.34,2.54,0,0
1230.82,3.08,0,0
1090.82,3.22,0,0
1178.46,3.20,0,0
1399.62,3.08,0,0
6286.66,2.00,1,1
3405.50,2.32,0,0
1395.97,2.91,0,0
6439.73,1.82,1,1
1020.64,2.88,0,0
4451.01,1.92,1,1
2544.68,2.36,0,0
1962.28,2.75,0,0
1093.00,2.96,0,0
1604.58,2.80,1,0
2819.11,2.47,1,1
1268.20,2.96,0,0
1319.38,2.99,0,0
1435.10,3.31,0,0
3478.42,2.20,0,0
13079.63,1.39,1,1
3485.20,1.85,1,0
928.46,3.13,0,0
1098.75,3.03,0,0
1211.82,2.79,0,0
1247.10,3.06,0,0
1552.42,2.99,0,0
1939.30,2.99,0,0
4843.05,2.10,1,0
1105.72,3.26,0,0
1454.97,3.04,0,0
1431.91,2.91,0,0
4592.04,2.05,1,1
1950.45,2.29,0,0
1230.10,2.94,0,0
3371.20,2.30,1,1
3010.41,2.26,0,0
1641.31,2.68,0,0
2006.12,2.63,0,0
2880.50,2.47,1,1
3149.46,2.32,0,0
